OTU	Domain	Phylum	Class	Order	Family	Genus	Species
e9ed63b9ecafaf3f5cfa3ddb8099182b	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_thailandensis
7ba49a90336363162d43376aadb1ae32	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes_sp000508985
79ac8b6d7dada8c3cc99369d4c49957d	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	GCA-900066495	s__GCA-900066495_Species
2cf7d2c71e351160d3c070f2dfd5ea8a	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
d7fca783c1e8e93f5f9a8d97a6fbc7ea	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
40194a45f432452dd6118f9e11050ce1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
e717c118ec2cb317ad11f506f5b77de2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	f__Bacteroidales_Family	g__Bacteroidales_Genus	s__Bacteroidales_Species
f39ba67f65a078037c4eaf0ebc81839b	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_genus	Ruminococcaceae_species
b4b2a94f32eb4938791c06ae63e6a917	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1_sp000403215
cbe8135b46a9a54a5286d68a5e88ae3f	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium_maris
