""	"prev"	"freq"	"CB-T1"	"CB-T2"	"SB1-Sauv0"	"SB10-Mut0"	"SB11-Mut0"	"SB12-Mut0"	"SB13-Sauv50"	"SB14-Sauv50"	"SB15-Sauv50"	"SB16-Sauv50"	"SB17-Sauv50"	"SB18-Sauv50"	"SB19-Mut50"	"SB2-Sauv0"	"SB20-Mut50"	"SB21-Mut50"	"SB22-Mut50"	"SB23-Mut50"	"SB24-Mut50"	"SB3-Sauv0"	"SB4-Sauv0"	"SB5-Sauv0"	"SB6-Sauv0"	"SB7-Mut0"	"SB8-Mut0"	"SB9-Mut0"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"3a969183e54077ee736d33ccd425b21c"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadales_family"	"g__Pseudomonadales_genus"	"s__Pseudomonadales_species"
"caca6e23180f86dfcdb4a49a9818e889"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcaceae_genus"	"s__Peptostreptococcaceae_species"
"4dfff5d99ce91ca6eed90b2dcc2f1ed6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__Staphylococcus_species"
"ed4710abda857d8a4d6002a258464637"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Staphylococcaceae"	"g__Jeotgalicoccus"	"s__Jeotgalicoccus_halotolerans"
"b16f37333b815a4685dfb71b88488ead"	"1"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Lachnospiraceae_genus"	"s__Lachnospiraceae_species"
"4e0fed327c90e8a093ea4ddfd84fd378"	"1"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Lachnospiraceae_genus"	"s__Lachnospiraceae_species"
"18b7090f2e7fe1fe93e1419dea220c83"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Aerococcaceae"	"g__Facklamia"	"s__Facklamia_tabacinasalis"
"9497e405e1c0434ba8f357ff9063f7b4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Firmicutes_class"	"o__Firmicutes_order"	"f__Firmicutes_family"	"g__Firmicutes_genus"	"s__Firmicutes_species"
"a6bc40f6c3d1e34b4f0afe9fb6018409"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Hafnia-Obesumbacterium"	"s__Hafnia-Obesumbacterium_species"
"3815318a48c0bb3c800c0c5f41864ae5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Porphyromonadaceae"	"g__Barnesiella"	"s__Barnesiella_intestinihominis"
"0ca22ad352e4babb9484ff924e34b891"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Aerococcaceae"	"g__Facklamia"	"s__Facklamia_Species"
